id,chat,label,cleaned_message
1,main mu kek tai cok,violence,main mu kek tai cok
2,user telat ngasih tau elu edan sarap gue bergaul elu,violence,telat ngasih tau elu edan sarap saya bergaul elu
3,kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ninggalkan orangtuaku berencana berpisah kakakku memilih kristen,neutral,kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ningalkan orangtuaku berencana berpisah kakaku memilih kristen
4,user user aku\n\nku tau matamu sipit diliat,racist,akunku tau matamu sipit diliat
5,capek deh ketemu kaum cina kapir gini match,racist,capek deh ketemu kaum cina kapir gini match
6,skill cacad ngide jungler cok,violence,skil cacad ngide jungler cok
7,gg main lo keren bro,neutral,g main lo keren bro
8,gue aja kelar rewatch aldnoah zero kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,neutral,saya saja kelar rewatch aldnoah zero kampret memang endingnya karakter utama cowonya kena friendzone bray xd url
9,admin belanja port terbaik nak makan ai kepal milo ai kepal horlicks cendol toping kaw doket mano tu,neutral,admin belanja port terbaik nak makan ai kepal milo ai kepal horlicks cendol toping kaw doket mano tu
10,user enak lg klo smbil ngewe,harassment,enak lagi klo smbil ngewe
11,gw jari lu sebelom gw ukur nyali bacot lu \xf0\x9f\x98\x8f,violence,saya jari kamu sebelom saya ukur nyali bacot kamu
12,user user user user banci kaleng malu ga 2 nyungsep koe user url,harassment,banci kaleng malu tidak nyungsep koe url
13,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi user,violence,kalau belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi
14,maennya goblok banget sih geblek banget dah,violence,maenya goblok banget geblek banget dah
15,bu guru enakan jablay guru esde sih\nkayaknya menikmati pecun guru,harassment,bu guru enakan jablay guru esde sihnkayaknya menikmati pecun guru
16,minum tuh kencing onta emang dasar otak onta,violence,minum tuh kencing onta memang dasar otak onta
17,fikiran ampas banget ya,neutral,fikiran ampas banget ya
18,dasar anak babi kau,violence,dasar anak babi kau
19,cowo gentle kalo ga gentle namanya banci,harassment,cowo gentle kalau tidak gentle namanya banci
20,anak anjing,violence,anak anjing
21,asw ya gua jarang ngambek takut wkkwkwkwkw gua bucin,neutral,asw ya gua jarang ngambek takut wkwkwkwkw gua bucin
22,user kalo noob peluang disakitin nya gede si,neutral,kalau nob peluang disakitin nya gede si
23,goblok banget sih mainnya gitu aja kalah mulu,violence,goblok banget mainya gitu saja kalah mulu
24,mbak ki gatel lonte cowokku ikuti sange si,harassment,mbak ki gatel lonte cowoku ikuti sange si
25,ggwp gan mantap banget,neutral,gwp gan mantap banget
26,maen apapun bekerjasama,neutral,maen apapun bekerjasama
27,si user kerjaannya delay mulu setan,violence,si kerjanya delay mulu setan
28,menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget,neutral,menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget
29,mainmu noob banget ga bagusnya,violence,mainmu nob banget tidak bagusnya
30,mah sdh neneknenek sy heran kaum cebong bisanya bohong,racist,mah sudah neneknenek sy heran kaum cebong bisanya bohong
31,parah lo mainnya mati aja,violence,parah lo mainya mati saja
32,liat tuh anjing jawa babi cina jalan bareng,racist,liat tuh anjing jawa babi cina jalan bareng
33,user gak kak emak mah gak demen ama sipit wkwk,racist,tidak kak emak mah tidak demen ama sipit
34,kelakuan homok jaman now ngentot aja live,harassment,kelakuan homok jaman now ngentot saja live
35,user ga kak gua orang jawa maaf yak gua orang palembang kakak aja deh yg belajar aksara jawa kalak belajar budaya palembang,neutral,tidak kak gua orang jawa maf yak gua orang palembang kakak saja deh yang belajar aksara jawa kalak belajar budaya palembang
36,pegawai guardian training kek mentang2 gue kek gembel cuman kaos flat shoe nanya dijutekin bangsad emang male belinya kabur gua matahari,violence,pegawai guardian training kek mentang saya kek gembel cuman kaos flat shoe nanya dijutekin bangsad memang male belinya kabur gua matahari
37,\xe2\x80\x9dpara bajingan melukai lady menerima ganjaran seratus kali lipat,violence,para bajingan melukai lady menerima ganjaran seratus kali lipat
38,lawannya pro banget auto kalah ni kayaknya,neutral,lawanya pro banget auto kalah ni kayaknya
39,gw noob ajarin ya suhu,neutral,saya nob ajarin ya suhu
40,edan emang goollnya fabiano,neutral,edan memang golnya fabiano
41,gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina,violence,gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina
42,imba bener dah maennya ga kasih kesempatan ngulti,neutral,imba benar dah maenya tidak kasih kesempatan ngulti
43,anjir kali lihat orang bego debat pilkada kerjanya nyerang karakter shame on you,violence,anjir kali lihat orang bego debat pilkada kerjanya nyerang karakter shame on you
44,keanekaragaman budaya suku agama sesungguhnya kekayaan,neutral,keanekaragaman budaya suku agama sesunguhnya kekayan
45,gila mainnya pro banget ggwp gan,neutral,gila mainya pro banget gwp gan
46,ga nyangka maennya seimba gw noob loh,neutral,tidak nyangka maenya seimba saya nob loh
47,maennya bener bang,neutral,maenya benar bang
48,user user user user sembahyang mengadopsi tradisi lokal kerjaan hindu\n\nistilah\xc2\xa0sembahyang\xc2\xa0pun lahir tradisi ritus\xc2\xa0menyembahhyang tunggal dengan\xc2\xa0shalat menyembah all,neutral,sembahyang mengadopsi tradisi lokal kerjaan hindunistilahsembahyangpun lahir tradisi ritusmenyembahyang tungal denganshalat menyembah all
49,kau pendikan bodoh,violence,kau pendikan bodoh
50,abaikan kaum kampret otak micin,racist,abaikan kaum kampret otak micin
51,user user si otak tempurung mah ga d ladenin smkn d lawan bloon dungu kalo ga gitu ga makan hehe,violence,si otak tempurung mah tidak d ladenin smkn d lawan blon dungu kalau tidak gitu tidak makan
52,user awaasss klu bcr aja micingin mata bibir monyong kesamping suara ky lg nhn kentut,violence,awas klu bcr saja micingin mata bibir monyong kesamping suara ky lagi nhn kentut
53,babi cina umur 3 taonan tuh,racist,babi cina umur taonan tuh
54,user cerita silat lae \xf0\x9f\x98\x80 kho ping hoo indonesia liang ie shen penulis china,neutral,cerita silat lae kho ping ho indonesia liang ie shen penulis china
55,user benci dgn umat islam,racist,benci dengan umat islam
56,parah lu jawa mainnya pinter dikit napa,racist,parah kamu jawa mainya pinter dikit napa
57,user gua nete,harassment,gua nete
58,lol kaum kampret,racist,lol kaum kampret
